#TYPE System.Diagnostics.EventLogEntry#security/Microsoft-Windows-Security-Auditing/4672
"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"4672","Bit01","System.Byte[]","421001","(12548)","12548","SuccessAudit","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege","Microsoft-Windows-Security-Auditing","System.String[]","4672","2/13/2018 6:53:12 AM","2/13/2018 6:53:12 AM",,,
"4624","Bit01","System.Byte[]","421000","(12544)","12544","SuccessAudit","An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		BIT01$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

Logon Type:			5

Impersonation Level:		%%1833

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e7
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x2b4
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","Microsoft-Windows-Security-Auditing","System.String[]","4624","2/13/2018 6:53:12 AM","2/13/2018 6:53:12 AM",,,
"4672","Bit01","System.Byte[]","420999","(12548)","12548","SuccessAudit","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege","Microsoft-Windows-Security-Auditing","System.String[]","4672","2/13/2018 6:45:13 AM","2/13/2018 6:45:13 AM",,,
"4624","Bit01","System.Byte[]","420998","(12544)","12544","SuccessAudit","An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		BIT01$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

Logon Type:			5

Impersonation Level:		%%1833

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e7
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x2b4
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","Microsoft-Windows-Security-Auditing","System.String[]","4624","2/13/2018 6:45:13 AM","2/13/2018 6:45:13 AM",,,
"4672","Bit01","System.Byte[]","420997","(12548)","12548","SuccessAudit","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege","Microsoft-Windows-Security-Auditing","System.String[]","4672","2/13/2018 6:43:51 AM","2/13/2018 6:43:51 AM",,,
"4624","Bit01","System.Byte[]","420996","(12544)","12544","SuccessAudit","An account was successfully logged on.

Subject:
	Security ID:		S-1-5-18
	Account Name:		BIT01$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

Logon Type:			5

Impersonation Level:		%%1833

New Logon:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e7
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x2b4
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","Microsoft-Windows-Security-Auditing","System.String[]","4624","2/13/2018 6:43:51 AM","2/13/2018 6:43:51 AM",,,
"4797","Bit01","System.Byte[]","420995","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Guest
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420994","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Tre'
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420993","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	HomeGroupUser$
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420992","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	HomeGroupUser$
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420991","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Beverly
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420990","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	HomeGroupUser$
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420989","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Administrator
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420988","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Tre'
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420987","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	HomeGroupUser$
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420986","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Guest
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420985","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Beverly
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420984","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Administrator
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:47 AM","2/13/2018 6:40:47 AM",,,
"4797","Bit01","System.Byte[]","420983","(13824)","13824","SuccessAudit","An attempt was made to query the existence of a blank password for an account.

Subject:
	Security ID:		S-1-5-19
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3e5

Additional Information:
	Caller Workstation:	BIT01
	Target Account Name:	Guest
	Target Account Domain:	Bit01","Microsoft-Windows-Security-Auditing","System.String[]","4797","2/13/2018 6:40:42 AM","2/13/2018 6:40:42 AM",,,
